0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:07:09 +0530] "GET /Training/top.html HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:07:09 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:07:09 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:07:10 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:07:10 +0530] "GET /Training/top.html HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:07:10 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:07:10 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:07:11 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:07:11 +0530] "GET /Training/top.html HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:07:11 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:07:11 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:07:40 +0530] "GET /Training/top.html HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:07:40 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:08:18 +0530] "GET /Training/top.html HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:08:18 +0530] "GET /Training/right.html HTTP/1.1" 404 732
